,id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclcn
65,9248276,Sister: West Coast feminist newspaper,"Sister (Los Angeles, Calif.)",Sister,,,"Venice, California :|||North Hollywood, California :|||Manhattan Beach, California :|||Santa Monica, California :",Westside Women's Center|||[publisher not identified]|||[publisher not identified]|||[publisher not identified]|||[publisher not identified],,1973,19uu,,serial,"Bimonthly, Dec. 1976/Jan. 1977-|||Monthly, 1973-July/Aug. 1976|||Bimonthly",eng,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,"Feminism|||Women's rights|||Women|||Social conditions|||Political activity|||Health and hygiene|||FeministsWestside Women's Center (Los Angeles, Calif.)",,,,,,,,
66,1916072,Sojourner,"Sojourner (Cambridge, Mass.)",,,,"Cambridge, MA]",The Institute,c1975-,1975,9999,,serial,Monthly,eng,text,print,v. : ill. ; 44 cm.,Periodicals|||periodical,,Feminism|||Women,,,,,,0191-8699,86642678|||sc 83008383,
67,9248038,Sojourner,"Sojourner (Cambridge, Mass.)",,,Massachusetts Institute of Technology (issuing body)|||Sojourner Feminist Institute (publisher),"[Cambridge, Massachusetts] :|||Cambridge, Massachusetts :|||Jamaica Plain, Massachusetts :","Massachusetts Institute of Technology,|||Sojourner, Incorporated|||Sojourner Feminist Institute|||Sojourner Feminist Institute",1975-,1975,2002,,serial,Monthly,eng,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,Feminism|||Women,,,,,,0191-8699,,
68,8936707,Sojourner,"Sojourner (Cambridge, Mass.)",,,Sojourner Feminist Institute (publisher),"Cambridge, MA]|||Cambridge, MA|||Jamaica Plain, MA","Massachusetts Institute of Technology|||Sojourner, Inc.|||Sojourner Feminist Institute|||Sojourner Feminist Institute",c1975-,1975,2002,,serial,Monthly,eng,text,electronic|||electronic resource|||remote|||unmediated|||volume,,Periodicals|||periodical|||text,,Feminism|||Women,,,,,,0191-8699,,
69,430415,Spare rib,"Spare rib (London, England)",,,,London,Spare Ribs Ltd.,,1972,9999,,serial,Monthly,eng,text,print,v. ill. 30 cm.,periodical,,,,,,,,0306-7971,sn 82020308,
70,8181200,Spare rib,"Spare rib (London, England)",,,,London,Spare Ribs Ltd.,1972-,1972,19uu,,serial,Monthly,eng,text,electronic|||electronic resource|||remote|||unmediated|||volume,,Periodicals|||Periodicals-England-1972-1993|||periodical|||text,,Feminism|||Women|||Social conditions|||Periodicals,,,,,Spare rib magazine (OCoLC)25691520,0306-7971,,
71,1478908,Successful women,,,,,"Pittsburgh, Pa",Holsing Communications,1994-,1994,9999,,serial,Monthly,eng,text,print,v. : ill. ; 35 cm.,periodical,,Women|||Periodicals,,,,,,,sn 94042469,
72,527891,Up from under,,"Up from under by,for, and about women",,,New York,Up from Under],,1970,9999,,serial,Quarterly,eng,text,print,v. ill. 28 cm.,,,Women|||Periodicals,,,,,,0042-0670,sn 86020063|||78023557,
73,8830454,Up from under,"Up from under (New York, N.Y.)",,,,"New York,","Up from Under,",1970-,1970,uuuu,,serial,Quarterly (irregular)|||Quarterly,eng,text,electronic|||electronic resource|||remote|||computer|||online resource,,Periodicals|||periodical|||text,,Women,,,,,,2469-5106|||0042-0670,,
74,518108,Viva,Viva (New York),,,,New York,Viva International|||distributed by Curtis Circulation Co.,,1973,9999,,serial,Monthly,eng,text,print,v. illus. 28 cm.,periodical,,,,,,,,0149-4473,77643402,
75,531389,Woman becoming,,,,,Pittsburgh,[s.n.],,1972,9999,,serial,Irregular|||Completely irregular,eng,text,print,v. ill. 22 cm.,periodical,,American literature|||Periodicals|||Women authors,20th century,,,,,,sn 85010977,
76,541280,Womanspirit,,Woman spirit,,,"Wolf Creek, Or",Womanspirit,,1974,1984,,serial,Quarterly,eng,text,print,10 v. : ill. ; 28 cm.,periodical,,Women|||Periodicals,,,,,,0736-6930,83640402,
77,8830665,Womanspirit,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,,,
78,9368210,Women: a journal of liberation,,,,,[Baltimore],[publisher not identified] ;,,1969,1983,,serial,4 no. a year (irregular)|||Unknown,eng,text,microfilm|||microform|||microfilm reel,volumes : illustrations ; 28 cm,Periodicals|||periodical|||text,,Women,,,,,,,,
79,524637,Women (Baltim. Md.),,,,,Baltimore,"Women: A Journal of Liberation, inc.; distributed by Eastern News, New York, etc.]",,1969,1983,,serial,"3 no. a year (irregular) <, v. 5, no. 1->|||5 no. a year <, winter 1970->|||4 no. a year (irregular) <, v. 4, no. 3->|||Three times a year",eng,text,print,8 v. ill. 28 cm.,periodical,,Women|||Periodicals,,,,,,0043-7433,73013942,
80,545980,Women,,,,,Baltimore,"Women: A Journal of Liberation, inc.; distributed by Eastern News, New York, etc.]",,1969,9999,,serial,Annual,eng,text,microfilm,,,,Women|||History|||Periodicals|||Women's rights,,,,,,,,
81,548030,Women,,,,,Baltimore,"Women: A Journal of Liberation, inc.]",,1969,9999,,serial,Unknown,eng,text,microfilm,v. ill. 28 cm.,periodical,,Women|||Periodicals|||Feminism,,,,,,0043-7433,,
82,538527,Women,,,,,"Baltimore,md",,,,,,serial,Completely irregular,eng,text,print,,,,Underground newspaper,,,,,,,,
83,4532334,Women's independent press,,WIP,,,"Champaign, Ill",Women's Independent Press,,2003,9999,,serial,Monthly,eng,text,print,v. : ill. ; 32 cm.,Newspapers|||Periodicals|||periodical,,Women|||Feminism|||Women's rights,,,,,,,,
84,9247457,Womens liberation,,,,,New York :,[publisher not identified],,uuuu,uuuu,,serial,Irregular|||Completely irregular,eng,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes).,Newspapers|||newspaper|||text,,Feminism,,,,,,,,
