,term,count
1663,syu,1
1664,used,1
1665,demolish,1
1666,raid,1
1667,salem,1
1668,bay,1
1669,gifts,1
1670,comfort,1
1671,give,1
1672,keesing,1
1673,teheran,1
1674,lapin,1
1675,adam,1
1676,southwest,1
1677,tenement,1
1678,petitions,1
1679,dudnick,1
1680,quarter,1
1681,heritage,1
1682,ea,1
1683,feel,1
1684,snare,1
1685,ouster,1
1686,macarthur,1
1687,stein,1
1688,countries,1
1689,buffer,1
1690,nature,1
1691,ethics,1
1692,relation,1
1693,hathaway,1
1694,essentials,1
1695,hitlerism,1
1696,difference,1
1697,vigilante,1
1698,gateway,1
1699,gag,1
1700,apply,1
1701,informational,1
1702,delegate,1
1703,razumova,1
1704,panther,1
1705,defends,1
1706,family,1
1707,oday,1
1708,tragic,1
1709,fontana,1
1710,michigans,1
1711,offense,1
1712,expelled,1
1713,staging,1
1714,therese,1
1715,laundry,1
1716,consider,1
1717,democratie,1
1718,renovation,1
1719,restauration,1
1720,hiroshimas,1
1721,lundeen,1
1722,behalf,1
1723,wanted,1
1724,driveway,1
1725,squatting,1
1726,gerald,1
1727,college,1
1728,central,1
1729,recruitment,1
1730,kravif,1
1731,hy,1
1732,telegraph,1
1733,telephone,1
1734,demonstrations,1
1735,saccovanzetti,1
1736,garbage,1
1737,brochure,1
1738,battery,1
1739,procession,1
1740,zagarell,1
1741,regarding,1
1742,investigate,1
1743,tonight,1
1744,boston,1
1745,bucket,1
1746,bail,1
1747,californiaberkeley,1
1748,undeclared,1
1749,event,1
1750,evil,1
1751,talbott,1
1752,statements,1
1753,financial,1
1754,negrowhite,1
1755,contagious,1
1756,courage,1
1757,fed,1
1758,process,1
1759,due,1
1760,rule,1
1761,africas,1
1762,proposition,1
1763,disarm,1
1764,alto,1
1765,palo,1
1766,guess,1
1767,cc,1
1768,captain,1
1769,mort,1
1770,crises,1
1771,liberal,1
1772,mongers,1
1773,providence,1
1774,conneaut,1
1775,unless,1
1776,die,1
1777,witches,1
1778,reign,1
1779,bresler,1
1780,gaeth,1
