id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclccn,url
543934,New almanac,,Bloomington new almanac,,,"Bloomington, Ind",Twelfth House Publishing Co.,,1975,9999,,serial,Unknown,English,text,microfilm,v. ill.,newspaper,,Underground newspapers,,"Indiana|||Bloomington|||United States, Indiana, Bloomington",,,,,,,
540679,"New banner, The",,,,,"Columbia, S.C",New Banner Institute.,,1972,9999,,serial,Semimonthly,English,text,microfilm,,newspaper,,Underground newspapers,,"United States, South Carolina, Columbia|||South Carolina|||Columbia",,,,0047-9527,,,
542048,"New citizen, The",,,,,"Schenectady, N.Y",,,1976,9999,,serial,Biweekly,English,text,microfilm,,newspaper,,Underground newspapers,,"New York|||Schenectady|||United States, New York, Schenectady",,,,,,,
542045,"New frontier, The",,,,,"Laruel Springs, N.J",,,1976,9999,,serial,Biweekly,English,text,microfilm,,newspaper,,Underground newspapers,,"Laurel Springs|||New Jersey|||United States, New Jersey, Laurel Springs",,,,,,,
542096,"New Haven advocate, The",,,,,"New Haven, Conn",,,1975,9999,,serial,weekly (except June & Dec.)|||Weekly,English,text,microfilm,,newspaper,,Underground newspapers,,"New Haven|||Connecticut|||United States, Connecticut, New Haven",,,,,,,
540827,New unity,,,,,"Springfield, Mass",,,1971,9999,,serial,Monthly,English,text,microfilm,,newspaper,,Underground newspapers,,"United States, Massachusetts, Springfield|||Springfield|||Massachusetts",,,,0047-9950,,,
540642,New York news service,,,,,New York,,,1973,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"United States, New York, New York|||New York|||New York (State)",,,,,,,
540687,"Newspaper, The",,,,,"New Orleans, La",,,1969,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"United States, Louisiana, New Orleans|||Louisiana|||New Orleans",,,,,,,
540667,North star,,,,,"Del Mar, Calif",,,1971,9999,,serial,Weekly,English,text,microfilm,,newspaper,,Underground newspapers,,"California|||Del Mar|||United States, California, Del Mar",,,,,,,
540648,Nova media,,,,,"Lafayette, Ind",,,1971,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Indiana|||United States, Indiana, Lafayette|||Lafayette",,,,,,,
