id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,copyright_status,copyright_holder,copyright_note,record_id,issn,lccn,oclccn,depositor,url,collection_id
,"British and American plays, 1830-1945",,,,"Durham, Willard Higley, 1883- (ed)|||Dodds, John Wendell, 1902- (joint ed)",New York,Oxford University Press,,,,,monographic,,English,text,print,"xi, 796 p. front., plates. 25 cm.",bibliography,,English drama|||American drama,19th century|||20th century,,,,,,,,997315123406236,,47004212,,,,
,Representative English plays: from the miracle plays to Pinero,,,,"Martin, Robert Grant, 1882-1931 (joint ed)",New York|||London,"D. Appleton-Century Company, incorporated",,,,"2d ed., rev. and enl.",monographic,,English,text,print,"x, 914 p. 25 cm.",bibliography,,English drama,,,,,,,,,997316623406236,,38003805,,,,
,Introducing Shakespeare,,,,,New York,"Penguin Books, inc.",,,,,monographic,,English,text,print,"3 p. l., 121 p. illus., 2 pl.(incl. port.) on 1 l. 18 cm.",bibliography,,"Shakespeare, William 1564-1616",,,,,,,,,997318243406236,,47023631,,,,
,"Hamlet, prince of Denmark",,,,"Adams, Joseph Quincy, 1881-1946 (ed)",Boston|||New York [etc.],Houghton Mifflin company,,,,,monographic,,English,text,print,"vii, 356 p. front. 20 cm.",,,,,,,,,,,,997322853406236,,29009534,,,,
,"Anger, and after: a guide to the new British drama",,,,,Baltimore,Penguin Books,,,,[Rev. ed.],monographic,,English,text,print,"351, [1] p.",,,,,,,,,,,,997331173406236,,,,,,
,Shakespearian production: with especial reference to the tragedies,,,,,"Evanston, Ill.]",Northwestern University Press,,,,,monographic,,English,text,print,323 p. illus. 23 cm.,bibliography,,"Stage history|||Shakespeare, William 1564-1616",1800-,,,,,,,,997353943406236,,64007142,,,,
,"Shakespearean tragedy: Hamlet, Othello, King Lear, Macbeth: [lectures]",,,,,New York,Meridian Books,,,,,monographic,,English,text,print,448 p. 18 cm.,,,"Shakespeare, William 1564-1616|||Plays",,,,,,,,,997366063406236,,55009704 /L/r84,,,,
,New voices in the American theatre,,,,,New York,Modern Library,,,,,monographic,,English,text,print,"xi, 559 p. 19 cm.",,,American drama,20th century,,,,,,,,997441203406236,,55010654 //r83,,,,
,Famous American plays of the 1940s,,,,"Hewes, Henry (ed)",New York,Dell Pub. Co.,,,,,monographic,,English,text,print,447 p. 17 cm.,,,American drama,20th century,,,,,,,,997441473406236,,60003033 /L,,,,
,Six American plays for today,,,,"Cerf, Bennett, 1898-1971 (ed)",New York,Modern Library,,,,,monographic,,English,text,print,599 p. 19 cm.,,,American drama,20th century,,,,,,,,997444253406236,,61011189 /L/r85,,,,
,Six modern American plays,,,,,New York,Modern Library,,,,,monographic,,English,text,print,419 p. 19 cm.,,,American drama,20th century,,,,,,,,997444383406236,,51008900 /L,,,,
,"theatre of Bernard Shaw: ten plays chosen and discussed, The",,,,,New York,"Dodd, Mead",,,,,monographic,,English,text,print,2 v. 22 cm.,,,,,,,,,,,,997452883406236,,61012006 /L,,,,
,Contemporary American plays,,,,"Quinn, Arthur Hobson, 1875- (ed)",New York|||Chicago [etc.],C. Scribner's Sons,,,,,monographic,,English,text,print,"xxxiii, 382 p. 20cm.",bibliography,,American drama,,,,,,,,,997470863406236,,23006739,,,,
,Nine modern American plays,,,,"Clark, Barrett H. (Barrett Harper), 1890-1953 (ed)|||Davenport, William H., 1908-2006 (joint ed)",New York,Appleton-Century-Crofts,,,,,monographic,,English,text,print,"xiii, 432 p. 25 cm.",,,American drama,20th century,,,,,,,,997477953406236,,51009988,,,,
,8 popular plays for amateurs in prompt book style: a practical production anthology,,Eight popular plays for amateurs in prompt book style,,"Davis, Eugene C. (ed)",New York,Greenberg,,,,,monographic,,English,text,print,"x, 258 p. illus. 25 cm.",,,American drama|||English drama,20th cent,,,,,,,,997494363406236,,48001958,,,,
,Famous American plays of the 1950s,,,,"Strasberg, Lee (ed)",New York,Dell Pub. Co.,,,,,monographic,,English,text,print,415 p. 17 cm.,,,American drama,20th century,,,,,,,,997506333406236,,63001659 /L,,,,
,Seeing more things,,,,,New York,Whittlesey House,,,,,monographic,,English,text,print,"ix, 347 p. 22 cm.",,,,,,,,,,,,997562323406236,,48008561 //r86,,,,
,Routines,,,,,New York,Published for J. Laughlin by New Directions Pub. Corp.,,,,,monographic,,English,text,print,56 p. illus. 21 cm.,,,,,,,,,,,,997564563406236,,64023652,,,,
,Watch on the Rhine: a play in three acts,,,,,New York,Random house,,,,,monographic,,English,text,print,"4 p.l., 3-170 p. front., plates. 21 cm.",,,,,,,,,,,,997581563406236,,41051806 //r81,,,,
,Elegy in Manhattan,,,,,New York,"Holt, Rinehart and Winston",,,,,monographic,,English,text,print,198 p. 22 cm.,,,Biography|||Poetry,,United States,,,,,,,997590683406236,,61008038,,,,
,"pirate, The",,,,,New York,Random House,,,,,monographic,,English,text,print,209 p. illus. 20 cm.,,,,,,,,,,,,997593913406236,,43051114,,,,
,Mourning becomes Electra: a trilogy,,,,,New York,H. Liveright,,,,,monographic,,English,text,print,256 p. 21 cm.,,,,,,,,,,,,997595393406236,,31028367,,,,
,Liberty Jones: a play with music for city children,,,,,New York,"Coward-McCann, inc.",,,,,monographic,,English,text,print,"5 p. l., 3-167 p. 12 cm.",,,,,,,,,,,,997605183406236,,41013086,,,,
,"Emperor Jones, Diff'rent, The straw, The",,Diff'rent|||Straw,,,New York,Boni and Liveright,,,,,monographic,,English,text,print,"x p., 1 ℓ., 285 p. ; 20 cm.",,,American drama,20th century,,,,,,,,997618813406236,,21026427,,,,
,"production: a novel of the Broadway theater, The",,,,,New York,Dial Press,,,,,monographic,,English,text,print,369 p. 24 cm.,,,,,,,,,,,,997641703406236,,75103434,,,,
,Alexander Woollcott: the man who came to dinner: a biography,,,,,London|||New York [etc.],Abelard-Schuman,,,,,monographic,,English,text,print,357 p. ports. 22 cm.,biography,,"Woollcott, Alexander 1887-1943",,,,,,,,,997645703406236,,67013458,,,,
,Cat on a hot tin roof,,,,,New York,New Directions,,,,[New rev. ed.].,monographic,,English,text,print,173 p. ; 21 cm.,,,,,,,,,,,,997666063406236,,74032032,,,,
,MacBird,,,,,Berkeley [Calif.],Grassy Knoll Press,,,,,monographic,,English,text,print,56 p. illus. 22 cm.,,,,,,,,,,,,997672683406236,,66031809,,,,
,"rose tattoo, The",,,,,New York],New Directions,,,,[1st ed.,monographic,,English,text,print,"xv, 144 p. illus. 21 cm.",,,,,,,,,,,,997675323406236,,51011004,,,,
,Bristol at play: five centuries of live entertainment,,,,,Bradford-on-Avon,Moonraker Press,,,,,monographic,,English,text,print,"vi, 65 p., [16] p. of plates : ill., facsims., map, ports. ; 23 cm.",bibliography,,Amusements|||Social life and customs,,England|||Bristol (Avon)|||Bristol (England),,,,,,,997908633406236,,77371865 //r852,,,,
,"Elegant wits and grand horizontals: a sparkling panorama of ""la belle epoque,"" its gilded society, irrepressible wits and splendid courtesans",,,,,Boston,Houghton Mifflin,,,,,monographic,,English,text,print,262 p. illus. 23 cm.,bibliography,,Social life and customs,,Paris (France)|||France,,,,,,,997939903406236,,62011488,,,,
,To the embassy,,,,,New York,"Duell, Sloan and Pearce",,,,[1st ed.],monographic,,English,text,print,241p. 21 cm.,,,Social life and customs,,Paris (France),,,,,,,997953543406236,,63016822,,,,
,Hollywood corral,,,,,New York,Popular Library,,,,,monographic,,English,text,print,255 p. : ill. ; 28 cm.,,,Western films|||History and criticism,,,,,,,,,998322423406236,,76362756,,,,
,Reel art: great posters from the golden age of the silver screen,,,,,New York,Abbeville Press,,,,,monographic,,English,text,print,342 p. : ill. ; 34 cm.,bibliography,,Film posters,,,,,,,,,998332423406236,,88010451,,,,
,Broadway's greatest musicals,,,,,New York,Funk & Wagnalls,,,,,monographic,,English,text,print,"xiv, 465 p. 24 cm.",bibliography,,Musicals|||History and ciriticism,,New York (State)|||New York,,,,,,,998623323406236,,68023739 /MN,,,,
,Revue: a story in pictures,,,,"Mitchenson, Joe (joint author)",New York,Taplinger Pub. Co.,,,,,monographic,,English,text,print,"viii, 55 p. 225 illus. 26 cm.",,,Musicals|||Pictorial works,,England|||London,,,,,,,998627403406236,,76163477 /MN,,,,
,"Bring on the girls!: The improbable story of our life in musical comedy, with pictures to prove it",,,,"Bolton, Guy, 1884-1979 (joint author)",New York,Simon and Schuster,,,,,monographic,,English,text,print,278 p. illus. 22 cm.,,,Musicals|||Music|||Musicians|||Biography,,United States,,,,,,,998635593406236,,53010807 /L,,,,
,"American musical theater: a consideration, The",,,,,n.p.],Distributed by the Macmillan Co.,,,,,monographic,,English,text,print,"xiii, 236 p. illus. 25 cm.",Discography|||bibliography,,Musicals,,United States,,,,,,,998637193406236,,67008079 //MN,,,,
,Rodgers and Hammerstein fact book: a record of their works together and with other collaborators,,,,,New York,Lynn Farnol Group,,,,,monographic,,English,text,print,"762, 30 p. : ill., ports. ; 24 cm.",bibliography,,"Chronology|||Musicals|||Rodgers, Richard 1902-1979|||II Hammerstein, Oscar 1895-1960",,,,,,,,,991241563406236,,81113497 /MN,,,,
,"artist's handbook on copyright, (with appendices), An",,,,,"Atlanta, Ga",Georgia Volunteer Lawyers for the Arts,,,,,monographic,,English,text,print,90 p. : ill. ; 23 cm.,,,Copyright|||Art|||Artistic performance,,United States,,,,,,,991351323406236,,81068362,,,,
,London theatre today: a guide for travelers,,,,,"Phoenix, AZ",Golden West Publishers,,,,,monographic,,English,text,print,144 p. : ill. ; 21 cm.,bibliography,,Theaters,,England|||London,,,,,,,991458923406236,,80019434,,,,
,Double bill,,,,,New York,Atheneum,,,,1st American ed.,monographic,,English,text,print,197 p. : ill. ; 23 cm.,biography,,"Actors|||Biography|||McCowen, Alec",,Great Britain,,,,,,,991507933406236,,80066018,,,,
,Stage management forms & formats,,,,,New York,Drama Book Publishers,,,,1st ed.,monographic,,English,text,print,177 p. : forms ; 31 cm.,,,Stage management|||Forms,,,,,,,,,991548373406236,,79016689,,,,
,"Shakespeare, the Globe & the world",,,,,New York,Oxford University Press,,,,,monographic,,English,text,print,208 p. : ill. (some col.) ; 31 cm.,bibliography|||biography,,"Exhibitions|||Dramatists, English|||Biography|||Shakespeare, William 1564-1616|||Folger Shakespeare Library.","Early modern, 1500-1700",Washington (D.C.),,,,,,,991570013406236,,79003075,,,,
,Openings and closings,,,,,"Garden City, N.Y",Doubleday,,,,1st ed.,monographic,,English,text,print,201 p.: ill.; 22 cm.,biography,,"Actors|||Biography|||Stickney, Dorothy",,United States,,,,,,,991797523406236,,78073195,,,,
,Robert William Elliston: manager,,,,,London,The Society for Theatre Research,,,,,monographic,,English,text,print,"xii, 196 p., [8] leaves of plates : ill. ; 22 cm.",bibliography|||biography,,"Elliston, R. W. (Robert William) 1774-1831",,,,,,,,,992008683406236,,75333078,,,,
,"Drama, stage and audience",,,,,"London, New York]",Cambridge University Press,,,,,monographic,,English,text,print,"viii, 256 p. illus. 22 cm.",,,Drama|||Theater,,,,,,,,,992298493406236,,,,,,
,"Josh, my up and down, in and out life: by Joshua Logan. --",,,,,New York,Delacorte Press,,,,,monographic,,English,text,print,330 p. : ill. ; 24 cm.,biography,,"Logan, Joshua",,,,,,,,,992386733406236,,75044171,,,,
,I remember it well,Môme à cheveux blancs. English,,,,New York],Macmillan,,,,,monographic,,French|||English,text,print,"221 p. illus., ports. 22 cm.",biography,,Musicians|||Biography,,,,,,,,,992419623406236,,79126515 /MN,,,,
,"American musical, The",,,,,New York,Castle Books,,,,,monographic,,English,text,print,"192 p. illus. (part col.), ports. 21 cm.",biography|||dictionary,,Musicals|||Dictionaries|||Musicians|||Biography,,United States,,,,,,,992436533406236,,75106381 /MN,,,,
,"Stravinsky and the theatre: a catalogue of decor and costume designs for stage productions of his works, 1910-1962",,,,,New York,New York Public Library,,,,,monographic,,English,text,print,"57 p. illus., (incl. music), ports. (part col.) 23 cm.",,,"Theaters|||Stage-setting and scenery|||Exhibitions|||Costume|||Stravinsky, Igor 1882-1971",,,,,,,,,992465553406236,,63015583,,,,
,"committee books of the Theatre Royal Norwich, 1768-1825, The",,,,"Eshleman, Dorothy Hughes (ed)",London,Society for Theatre Research,,,,,monographic,,English,text,print,"182 p. illus., facsims. 22 cm.",bibliography,,,,,,,,,,,992472393406236,,72855028,,,,
,Run-through: a memoir,,,,,New York,Simon and Schuster,,,,,monographic,,English,text,print,507 p. illus. 23 cm.,biography,,,,,,,,,,,992518383406236,,70179582,,,,
,People in a diary: a memoir,,,,,Boston,"Little, Brown",,,,[1st ed.],monographic,,English,text,print,338 p. illus. 24 cm.,biography,,,,,,,,,,,992543693406236,,70186968,,,,
,Pentimento: a book of portraits,,,,,Boston,"Little, Brown",,,,[1st ed.],monographic,,English,text,print,297 p. 24 cm.,biography,,"Hellman, Lillian 1905-1984",,,,,,,,,992664413406236,,73007747,,,,
,Rodgers and Hammerstein fact book,,,,,New York,"R. Rodgers and O. Hammerstein, II",,,,,monographic,,English,text,print,678 p. illus. 24 cm.,Bibliography,,"Chronology|||Musicals|||Rodgers, Richard 1902-1979|||II Hammerstein, Oscar 1895-1960",,,,,,,,,992782983406236,,56007012,,,,
,"complete play production handbook, The",,,,,New York,Harper & Row,,,,Rev. ed.,monographic,,English,text,print,"xi, 384 p. : ill. ; 24 cm.",bibliography,,Theater|||Production and direction,,,,,,,,,992834843406236,,82215005,,,,
,Hockney paints the stage,,,,,Minneapolis|||New York,Walker Art Center|||Abbeville Press,,,,,monographic,,English,text,print,227 p. : ill. (some col.) ; 27 cm.,bibliography,,"Exhibitions|||Theaters|||Stage-setting and scenery|||Hockney, David",,,,,,,,,992879503406236,,83005865,,,,
,"Running gag: a new musical performance event, book and structure",,,,,"New York, N.Y","Broadway Play Publishing, Inc.",,,,,monographic,,English,text,print,"xii, 98 p., [4] pages of plates : ill., music ; 28 cm.",,,,,,,,,,,,992962973406236,,,,,,
,"month in the country: an exhibition presented by the Theatre Museum, Victoria and Albert Museum and arranged in conjunction with April FitzLyon, A",,,,,"South Kensington, London, England]",Victoria and Albert Museum,,,,,monographic,,English,text,print,79 p. : photos. ; 25 cm.,bibliography,,"Dramatic production|||Exhibitions|||Turgenev, Ivan Sergeevich 1818-1883",,,,,,,,,993085433406236,,83234898,,,,
,Archives & manuscripts: security,,Archives and manuscripts: security,,,Chicago,Society of American Archivists,,,,,monographic,,English,text,print,"v, 30 p. : ill. ; 28 cm.",bibliography,,Archives|||Security measures,,,,,,,,,993306343406236,,77015117,,,,
,Performing arts directory,"Performing arts directory (New York, N.Y.)|||Dancemagazine",Dance magazine annual,,,"New York, NY","Dance Magazine, Inc.",,1986,1988,,serial,Annual,English,text,print,v. : ill. ; 28 cm.,,,Dance|||Periodicals|||Dance companies|||Directories|||Music|||Musicians|||Performing arts|||Dancers,,,,Dance magazine annual (DLC)sn 84011101 (OCoLC)1777473,,,,,994421443406236,,86645626,,,,
,Sarah Bernhardt,,,,,London,Heinemann,,,,,monographic,,English,text,print,"178 p., [2] leaves of plates : port., 1 folded facsim. ; 20 cm.",biography,,,,,,,,,,,994715143406236,,23014390,,,,
,Marquee: the journal of the Theatre Historical Society,"Marquee (Washington, D.C.)",,,,"Washington, D.C",The Society,,1969,9999,,serial,Quarterly,English,text,print,v. : ill. ; 29 cm.,periodical,,,,,,,,,,,995261473406236,0025-3928,sc 82003578,,,,
,"Simon's directory of theatrical materials, services & information",,"Simon's directory of theatrical materials, services & information covering the entire United States & Canada",,"Simon, Bernard (ed)",New York,Bernard Simon,,1955,9999,,serial,Completely irregular,English,text,print,v. ; 23 cm.,directory,,Theater|||Directories|||Drama|||Bibliography|||Periodicals,,United States,,,,,,,995273933406236,,55012448,,,,
,Samuel French's basic catalogue of plays,,Basic catalogue of plays|||Samuel French's basic catalog of plays|||Basic catalog of plays <1962>-|||Basic catalogue of plays and musicals <1991>-,,,New York,Samuel French,,19uu,199u,,serial,Unknown,English,text,print,v. 20-27 cm.,Bibliography-Catalogs|||Catalogs|||Periodicals|||bibliography,,Drama|||Publishers' catalogs,,,,Samuel French's catalogue of plays Samuel French Ltd. (DLC) 2005252494 (OCoLC)61504843,"Basic catalogue of plays and musicals Samuel French, Inc. (DLC) 97643155 (OCoLC)28947743",,,,995306853406236,0361-6495,sc 79004535,,,,
,Stubs,,,,,New York,"M. Schattner, etc.]",,1942,9999,Metropolitan New York edition.,serial,Completely irregular,English,text,print,v. ill. 24 cm.,directory,,Theaters|||Directories|||Stadiums,,New York (State)|||New York,,,,,,,995307293406236,0081-6051,46002252 //r853,,,,
,Playbill,"Playbill (New York, N.Y.)",,,,New York,"Playbill, Inc.",,1957,9999,,serial,"Monthly, Jan. 1964-|||Weekly, Sept. l957-Dec. 24, 1962.|||Monthly",English,text,print,v. : ill. ; 23 cm.,Periodicals|||periodical,,Theater|||Playbills,,New York (State)|||New York,,,,,,,995387803406236,0551-0678,sn 85023489,,,,
