id,title,creator,contributor,creation_date,sort_date,display_date,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,host,series,container,owner,depositor,collection_id
,"MGM years, The","Thomas, Lawrence B.",,,,,English,text,print,138 p. illus. 31 cm.,bibliography,,Musical films|||History and criticism,,Los Angeles|||California,,,,,,
,Occupation: angel,"Cullman, Marguerite.",,,,,English,text,print,256 p. ; 22 cm.,,,Theater|||Production and direction,,New York (State)|||New York,,,,,,
,... Plays,"Anouilh, Jean, 1910-1987",,,,,English,text,print,3 v. 19 cm.,,,,,,,,,,,
,"Famous plays of crime and detection, from Sherlock Holmes to Angel Street",,"Cartmell, Van H. (Van Henry), 1896-1966 (comp)|||Cerf, Bennett, 1898-1971 (joint comp)",,,,English,text,print,"xv, 910 p. 22 cm.",,,Detective and mystery plays,,,,,,,,
,"One-act plays for stage and study, fourth series: twenty two contemporary plays, never before published in book form",,,,,,English,text,print,"xii, 370 p. 21 cm.",,,American drama|||English drama,,,,,,,,
,"king's henchman: a play in three acts, The","Millay, Edna St. Vincent, 1892-1950",,,,,English,text,print,"4 p. ., 3-131, [1] p. front. 26 cm.",,,Aethelwold d. 962,,,,,,,,
,"Good night, sweet prince","Fowler, Gene, 1890-1960",,,,,English,text,print,"xvi, 477 p. : ill. ; 22 cm.",biography,,"Actors|||Biography|||Barrymore, John 1882-1942",,United States,,,,,,
,Covent Garden,,,,,,English,text,print,70 p. : ill. (some col.) ; 23 cm.,,,"Royal Opera House (London, England)",,Great Britain,,,,,,
,Portrait of G.B.S,"Topolski, Feliks, 1907-1989",,,,,English,text,print,12 p. : 33 ports. (1 col.) ; 25 cm.,,,"Portraits|||Shaw, Bernard 1856-1950",,,,,,,,
,Three English comedies,,"De Mille, Alban Bertram, 1873-|||Goldsmith, Oliver, 1730?-1774|||Sheridan, Richard Brinsley, 1751-1816",,,,English,text,print,"vii, 479 p., [18] leaves of plates : ill. ; 17 cm.",,,English drama,18th century,,,,,,,
,Mud show: a circus season,"Powledge, Fred.",,,,,English,text,print,374 p. : ill. ; 24 cm.,,,Circus|||Hoxie Brothers Circus.,,United States,,,,,,
,Portrait of Barrie,"Asquith, Cynthia, Lady, 1887-1960",,,,,English,text,print,"230 p., [7] †. of plates : ill. ; 22 cm.",biography,,"Barrie, J. M. (James Matthew) 1860-1937",,,,,,,,
,"art of rehearsal, The","Shaw, Bernard, 1856-1950","Shaw, Bernard, 1856-1950",,,,English,text,print,14 p. ; 16 cm.,,,Theater|||Production and direction,,,,,,,,
,"New theatre, The",,,,,,English,text,print,[11] p. : col. ill. ; 29 cm.,,,"Theater architecture|||Architecture|||History|||Wright, Frank Lloyd 1867-1959",20th century,Hartford|||Connecticut,,,,,,
,Long Wharf Theatre cooks,,"Hockensmith, Dwight.|||Long Wharf Theatre Associates",,,,English,text,print,219 p. : ill. ; 28 cm.,,,"Cooking|||Cooking, American|||Long Wharf Theatre (New Haven, Conn.)",,Connecticut,,,,,,
,"persecution and assassination of Jean-Paul Marat, The","Weiss, Peter, 1916-1982",,,,,German|||English,text,print,"x, 117 p. : music ; 21 cm.",,,"Drama|||Marat, Jean Paul 1743-1793",,,,,,,,
,Membership directory,,Puppeteers of America,,,,English,text,print,v. ; 23 cm.,directory,,Directories|||Puppeteers|||Puppeteers of America,,United States,Puppetry journal,,,,,
,"theatre: three thousand years of drama, acting and stagecraft, The","Cheney, Sheldon, 1886-1980",,,,,English,text,print,"ix, 558 p. : ill., ports. ; 24 cm.",bibliography,,Theater|||History|||Drama|||History and criticism,,,,,,,,
,Bring on the empty horses,"Niven, David, 1910-1983",,,,,English,text,print,"352 p. : ill., ports. ; 18 cm.",biography,,"Motion picture actors and actresses|||Biography|||Motion picture industry|||Niven, David 1910-1983",,United States|||Los Angeles|||California,,,,,,
,Sinatra: twentieth-century romantic,"Shaw, Arnold.",,,,,English,text,print,370 p. : ill. ; 18 cm.,biography,,"Sinatra, Frank 1915-1998",,,,,,,,
,Complete catalogue of plays,,"Dramatists Play Service (New York, N.Y.)",,,,English,text,print,v. 23 cm.,bibliography,,Drama|||Bibliography|||Catalogs|||Theater,,,,,,,,
,Baker's plays,,Walter H. Baker Company,,,,English,text,print,v. ; 19-27 cm.,series,,Drama|||Bibliography|||Catalogs,,,,,,,,
,Report,,Arts Council of Great Britain,,,,English,text,print,"21 v. ill., ports. 22 cm.",Periodicals,,"Art|||World War, 1939-1945|||Music and the war|||Theater and the war|||Art and the war",,Great Britain,,,,,,
,"art of acting in antiquity: iconographical studies in Classical, Hellenistic and Byzantine theatre, The","Neiiendam, Klaus.",,,,,English,text,print,150 p. : ill. ; 23 cm.,bibliography,,Theater|||History|||Theater in art,,"Rome|||Africa, North|||Byzantine Empire|||Greece|||Europe|||Middle East",,,,,,
,"James Dean, photographs",,"Kremmel, Paul, 1942-|||Arens, Axel, 1939-1986",,,,German|||English,text,print,135 p. : chiefly ports. ; 19 cm.,bibliography,,"Portraits|||Motion picture actors and actresses|||Dean, James 1931-1955",,United States,,,,,,
,Theatre,,"Chapman, John, 1900-1972",,,,English,text,print,4 v. : ill. ; 22 cm.,Periodicals,,"Theater|||Drama|||Plots (Drama, novel, etc.)|||Bibliography",20th century,United States,,,,,,
,"Yesterday's tomorrows: the golden age of the science fiction movie poster, 1950-1964","Wright, Bruce Lanier.",,,,,English,text,print,"viii, 184 p. : ill. (some col.) ; 28 cm.",,,Film posters|||Science fiction films|||History and criticism,,,,,,,,
,"Straw hat: guide to summer theatres, musical tents, Shakespeare festivals",,"Dachs, David, 1922- (ed)",,,,English,text,print,"v. : ill., maps ; 21 cm.",directory,,Summer theater|||Directories,,,,,,,,
,Broadway theatre posters,"Nelson-Cave, Wendy.",,,,,English,text,print,112 p. : ill. (chiefly col.) ; 37 cm.,,,"Theatrical posters, American|||Theater|||History|||Pictorial works",,New York (State)|||New York,,,,,,
,"Who's Tommy: the musical, The",,"Townshend, Pete.",,,,English,text,print,173 p. : ill. (some col.) ; 31 cm.,Librettos,,"Musicals|||Production and direction|||Townshend, Pete|||Who's Tommy",,,,,,,,
,Baroque and romantic stage design,"Scholz, János.",,,,,English,text,print,1 v. (chiefly ill.),bibliography,,Scene painting,,,,,,,,
,Tecnica delle costruzioni di cinema e teatri: progetti e costruzioni dellʹautore coi particolari delle strutture in cemento armato e gli schemi degli impainti principali,"Cavallé, Mario",,,,,Italian,text,print,"3 v. : ill., plans ; 25 cm.",,,Theater architecture|||Motion picture theaters|||Theaters,,Italy,,,,,,
,International membership directory,,Puppeteers of America,,,,English,text,print,v. ; 23 cm.,directory,,Directories|||Puppeteers|||Puppeteers of America,,United States,Puppetry journal,,,,,
,"Guide to selecting plays for performance, The",,Samuel French Ltd,,,,English,text,print,v. ; 23 x 12 cm.,bibliography,,Theater|||Production and direction|||Bibliography|||Catalogs|||Musical theater,,,,,,,,
,Catalogue of musical plays,,Samuel French Ltd,,,,English,text,print,78 p. : ill. ; 11 x 23 cm.,bibliography,,Catalogs|||Musicals|||Bibliography|||Samuel French Ltd,,,,,,,,
,Get used to it!: a new musical revue,"Weinberg, Tom Wilson.",,,,,English,sound recording-musical,sound recording|||sound disc,"1 sound disc (60 min., 5 sec.) : digital ; 4 3/4 in.",,,Revues|||Musicals|||Gay men|||Songs and music|||Homosexuality|||Humor,,,,,,,,
,Plays and musicals,,Dramatic Publishing Company,,,,English,text,print,v. : ill. ; 23 cm.,bibliography,,Theater|||Production and direction|||Bibliography|||Catalogs|||Musical theater|||Drama|||Amateur plays,,,,,,,,
,Musicals from the house of plays,,"Samuel French, Inc",,,,English,text,print,63 p. : ill. ; 28 cm.,catalog,,Musicals|||Bibliography|||Catalogs|||Drama,,,,,,,,
,Applause Theatre Books: [catalog],,Applause Theatre Books (Firm),,,,English,text,print,v. : ill. ; 21 cm.,bibliography,,Catalogs|||Drama|||Bibliography|||Publishers' catalogs|||Applause Theatre Books (Firm),,United States,,,,,,
,Catalog,,Broadway Play Publishing,,,,English,text,print,v. : ill. ; 28 cm.,bibliography,,Theater|||Production and direction|||Bibliography|||Catalogs|||Musical theater,,,,,,,,
,Odesskiĭ muzeĭ zapadnogo i vostochnogo iskusstva: putevoditelʹ,"Lut︠s︡kevych, N. H.","Shelestova, E. (Elena)|||Sokolov, O. (Oleg)",,,,German|||Russian|||English,text,print,54 p. : ill. (some col.) ; 22 cm.,,,Guidebooks|||Odesʹkyĭ derz︠h︡avnyĭ muzeĭ zakhidnoho ta skhidnoho mystet︠s︡tva,,Ukraine,,,,,,
,Directory of software for technical theatre,"Finelli, Patrick M.",,,,,English,text,print,52 p. ; 28 cm.,directory|||government publication,,Theater|||Data processing|||Computer software|||Directories,,,,,,,,
,Tapline,,Theatre Association of Pennsylvania,,,,English,text,print,v. : ill. ; 28 cm.,,,Theater|||Periodicals,,,,,,,,
,"Performing arts scrapbooks, 1889-1974 (bulk 1905-1967)",,"Barth, Harold B. (Harold Bradshaw), 1884-1974 (collector)|||Barth, Harold B. (Harold Bradshaw), 1884-1974",,,,English,,,13.75 (41,Performing arts-Records-Ohio-East Liverpool|||Performing arts-Records-Pennsylvania-Pittsburgh|||Theater-Albums|||Theater-Clippings|||Theater-Notebooks|||Theater-Pamphlets|||Theater-Programs|||Theater-Records-Ohio-East Liverpool|||Theater-Records-Pennsylvania-Pittsburgh|||Theater-Scrapbooks,"Scrapbooks are on theater, film, and other performing arts, chiefly in East Liverpool, Ohio, and Pittsburgh, Pa. Scrapbooks organized in volumes according to subject, i.e. drama, music, motion pictures, etc. 21 volumes contain programs accompanied by related clippings (motion picture books are chiefly clippings), all these mounted in loose-leaf albums. Bound ledger books (scrapbooks 22-34) and composition books (scrapbooks 35-39) were used for clippings of interest from magazines and newspapers. The final volume is a loose-leaf notebook presented by Eva Wasbutsky, Mr. Barth's secretary, after his death. Mr. Barth had an interest in all the performing arts. However, his focus was on theater and film, in particular Shakespeare. The final volumes are chiefly on Shakespearean productions, on stage, film, radio, and T.V. Loose souvenir programs and pamphlets were removed and integrated into the Curtis Theatre files and loose clippings not pertinent to the performing arts were discarded as were duplicate periodicals already held by the University Library System.","Stage history|||Theater|||Performing arts|||Shakespeare, William 1564-1616",,Pittsburgh|||East Liverpool|||Ohio|||Pennsylvania,,,,,,
,"Oliver P. Merriman scrapbook collection, 1825-1942, 1870 - 1942",,"Merriman, Oliver P. (collector)|||Bowman, Ned A.",,,,English,mixed material,unmediated|||other,14.00,Finding aids|||Theater programs|||still image|||text,"Oliver P. Merriman was an avid follower of Pittsburgh theatre. He built a large scrapbook collection that documents the history of the performing arts in Pittsburgh from the 1870s through the 1930s. It is organized into several broad categories and contains thousands of theatre programs, clippings, photographs, and other ephemera.","Performing arts|||Theater|||Theater programs|||Merriman, Oliver P",,New York (State)|||New York|||Pittsburgh|||Pennsylvania,,,,,,
,MGM posters: the golden years,"Miller, Frank.",,,,,English,text,print,192 p. : ill. (some col.) ; 32 cm.,,,"Film posters, American",,United States,,,,,,
,Masks and marionettes,"Kennard, Joseph Spencer, 1859-1944",,,,,English,text,print,"ix p., 2 †., 3-129 p. front., plates (1 double) ports. 26 cm.",,,Commedia dell'arte|||Puppets,,,,,,,,
,Limón: a catalogue of dances,"Limón, José.",Limón Institute,,,,English,text,print,48 p. : ill. (some col.) ; 22 x 28 cm.,Catalogs|||statistics,,"Ballet|||Limón, José",,,,,,,,
,Register,,Lymelite Group,,,,English,text,print,v. : ill. ; 28 cm.,directory,,Performing arts|||Production and direction|||Directories|||Periodicals|||Theaters|||Stage-setting and scenery,,,,,,,,
,Tom Tichenor's puppets,"Tichenor, Tom.",,,,,English,text,print,224 p. illus. (part col.) 25 cm.,bibliography,,Puppets,,,,,,,,
,"Dance, theater, opera, music hall: costume & decor designs, books, posters and photographs ... : exhibition ... : public auction Friday, June 12, 1981 at 10:15 a.m",,Sotheby Parke Bernet Inc,,,,English,text,print,[102] p.: chiefly ill. (some col.) ; 24 cm.,catalog,,Costume|||Exhibitions|||Theaters|||Stage-setting and scenery,,,,,,,,
,"Eduard Fischer, Kostümplastiken für das Theater: Entwicklungsweg, ausgew. Arbeiten, Beschreibung, Dokumentation","Ruppelt, Werner.",,,,,German,text,print,172 p. : numerous ill. ; 23 cm. & slides (18 slides : col. ; 2 x 2 in.) inserted.,,,"Fischer, Eduard 1916-",,,,,,,,
,"théâtres tchécoslovaques de marionnettes 1949/1969 =: Czechoslovak puppet theatres 1949/1969, Les","Bezděk, Zdeněk.",,,,,Czech|||French|||English,text,print,189 p. : ill. ; 21 cm.,,,Puppet theater,,Czechoslovakia,,,,,,
,PQ 67: Pražské quadriennale jevištního výtvarnictví a divadelní architektury = Quadriennale de Prague de décors et d'architecture théâtraux = Prague quadriennial of theatre design and architecture,,"Prague Quadrennial (1967)|||Ptáčková, Věra.|||Jindra, Vladimír.|||Divadelní ústav (Prague, Czech Republic)",,,,Czech|||French|||English,text,print,"336 p., [80] p. of plates : ill. ; 21 cm.",,,Theaters|||Stage-setting and scenery|||Exhibitions|||Set designers|||Biography|||Costume design,,,,,,,,
,"Edward Gordon Craig, 1872-1966","Nash, George.",,,,,English,text,print,"[2], 30 p. front., 36 plates (incl. ports., facsims.) 25 cm.",,,"Craig, Edward Gordon 1872-1966",,,,,,,,
